domain,control,kind,frozen_required,executable,conforming,executed,reused,alarm_ratio,status,reason
TEX,byte_identical,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,gain,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,global_phase,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,nav_sign,negative,True,False,False,False,False,,BLOCKED_BINDING,"implementation applies one global pi rotation, not NAV-bit-wise signs"
TEX,awgn_0.5sigma,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,awgn_1sigma,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,awgn_2sigma,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,cn0_reduction,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,single_source_code_ramp,negative,True,False,False,False,False,,BLOCKED_BINDING,implementation returns input IQ unchanged
TEX,single_source_doppler_ramp,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,common_clock_drift,negative,True,False,False,False,False,,BLOCKED_BINDING,implementation uses gain=1 and returns input IQ unchanged
TEX,prn_drop_add,negative,True,False,False,False,False,,BLOCKED_BINDING,no registered transform
TEX,single_prn_disturbance,negative,True,False,False,False,False,,BLOCKED_BINDING,no registered transform
TEX,independent_multipath,negative,True,False,False,False,False,,BLOCKED_BINDING,no registered transform
TEX,zero_delay_collapsed_duplicate,negative,True,True,True,False,False,,NOT_RUN_FAIL_CLOSED,implemented raw-IQ transform but not executed because the complete Phase-A binding failed
TEX,second_source_single_prn_d0.05_p-6_smooth_pull_off,positive,True,False,False,False,False,,BLOCKED_BINDING,registered duplicate is all-waveform fixed delay; it has neither selected-PRN multiplicity nor smooth pull-off
TEX,second_source_single_prn_d0.05_p-3_smooth_pull_off,positive,True,False,False,False,False,,BLOCKED_BINDING,registered duplicate is all-waveform fixed delay; it has neither selected-PRN multiplicity nor smooth pull-off
TEX,second_source_single_prn_d0.05_p0_smooth_pull_off,positive,True,False,False,False,False,,BLOCKED_BINDING,registered duplicate is all-waveform fixed delay; it has neither selected-PRN multiplicity nor smooth pull-off
